Ticker,Premium_Pass,Criteria_Met,Criteria_Total,Fail_Reasons,Market_Cap,Sector
NIVABUPA,False,9,14,roce_10|de_05|opm_positive|avg_roe_3y|mcap_3y_ago,15330.84,Financial Services
NUVAMA,False,11,14,roce_10|de_05|opm_positive,27536.45,Financial Services
NUVOCO,False,10,14,roce_10|roe_10|yoy_profit|avg_roe_3y,10761.11,Basic Materials
OBEROIRLTY,True,14,14,,57547.33,Real Estate
ONGC,True,14,14,,317777.85,Energy
OIL,False,11,14,roce_10|de_05|profit_3y,69838.41,Energy
OLAELEC,False,5,14,roce_10|roe_10|de_05|yoy_sales|yoy_profit|profit_3y|opm_positive|avg_roe_3y|mcap_3y_ago,20122.67,Consumer Cyclical
OLECTRA,False,12,14,roe_10|pe_vs_industry,10279.79,Industrials
PAYTM,False,6,14,roce_10|roe_10|de_05|yoy_profit|pe_vs_industry|profit_3y|opm_positive|avg_roe_3y,65512.88,Technology
ONESOURCE,False,8,14,roce_10|roe_10|yoy_profit|profit_3y|avg_roe_3y|mcap_3y_ago,18932.61,Healthcare
OFSS,True,14,14,,80669.46,Technology
POLICYBZR,False,9,14,roce_10|roe_10|de_05|profit_3y|avg_roe_3y,69500.36,Financial Services
PCBL,False,9,14,roce_10|roe_10|de_05|yoy_profit|profit_3y,10928.42,Basic Materials
PGEL,False,9,14,roce_10|roe_10|yoy_sales|yoy_profit|avg_roe_3y,13103.51,Technology
PIIND,False,11,14,de_05|yoy_sales|yoy_profit,42495.11,Basic Materials
PNBHOUSING,False,11,14,roce_10|de_05|opm_positive,24857.67,Financial Services
PTCIL,False,10,14,roce_10|roe_10|pe_vs_industry|avg_roe_3y,27256.45,Industrials
PVRINOX,False,8,14,roce_10|roe_10|de_05|yoy_sales|profit_3y|avg_roe_3y,9281.37,Communication Services
PAGEIND,True,14,14,,42094.72,Consumer Cyclical
PARADEEP,False,11,14,de_05|yoy_sales|yoy_profit,12614.81,Basic Materials
PATANJALI,True,14,14,,45593.04,Consumer Defensive
PERSISTENT,False,12,14,de_05|pe_vs_industry,76147.01,Technology
PETRONET,False,13,14,yoy_sales,39457.5,Energy
PFIZER,False,12,14,de_05|yoy_profit,20919.98,Healthcare
PHOENIXLTD,False,12,14,profit_3y|avg_roe_3y,61971.94,Real Estate
PWL,False,7,14,roce_10|roe_10|yoy_profit|profit_3y|opm_positive|avg_roe_3y|mcap_3y_ago,30298.44,Consumer Defensive
PIDILITIND,False,13,14,de_05,152544.18,Basic Materials
PINELABS,False,6,14,roce_10|roe_10|de_05|yoy_profit|pe_vs_industry|profit_3y|avg_roe_3y|mcap_3y_ago,16670.68,Technology
PIRAMALFIN,False,8,14,roce_10|roe_10|de_05|profit_3y|avg_roe_3y|mcap_3y_ago,44075.48,Financial Services
PPLPHARMA,False,8,14,roce_10|roe_10|de_05|yoy_profit|profit_3y|avg_roe_3y,21403.32,Healthcare
POLYMED,False,12,14,roce_10|yoy_profit,15007.8,Healthcare
POLYCAB,False,13,14,de_05,141095.94,Industrials
POONAWALLA,False,8,14,roce_10|roe_10|de_05|pe_vs_industry|profit_3y|avg_roe_3y,32617.96,Financial Services
PFC,False,10,14,roce_10|de_05|yoy_sales|opm_positive,136475.71,Financial Services
POWERGRID,False,13,14,de_05,266601.81,Utilities
PREMIERENE,False,11,14,de_05|profit_3y|mcap_3y_ago,47747.17,Technology
PRESTIGE,False,11,14,roe_10|de_05|avg_roe_3y,57084.68,Real Estate
PNB,False,12,14,roce_10|opm_positive,122020.57,Financial Services
RRKABEL,True,14,14,,24069.98,Industrials
RBLBANK,False,8,14,roce_10|roe_10|pe_vs_industry|profit_3y|opm_positive|avg_roe_3y,22243.49,Financial Services
RECLTD,False,10,14,roce_10|de_05|yoy_profit|opm_positive,88700.15,Financial Services
RHIM,False,9,14,roce_10|roe_10|yoy_profit|profit_3y|avg_roe_3y,7396.88,Industrials
RITES,False,12,14,yoy_profit|profit_3y,9636.59,Industrials
RADICO,False,13,14,roe_10,46204.98,Consumer Defensive
RVNL,False,9,14,roce_10|roe_10|yoy_profit|pe_vs_industry|profit_3y,46327.06,Industrials
RAILTEL,False,12,14,de_05|yoy_profit,9451.64,Communication Services
RAINBOW,False,13,14,de_05,13591.96,Healthcare
RKFORGE,False,8,14,roce_10|roe_10|de_05|yoy_profit|profit_3y|avg_roe_3y,10215.36,Industrials
REDINGTON,False,13,14,yoy_profit,18062.11,Technology
RELIANCE,False,9,14,roce_10|roe_10|yoy_profit|pe_vs_industry|avg_roe_3y,1709151.3,Energy
RPOWER,False,7,14,roce_10|roe_10|de_05|yoy_sales|yoy_profit|profit_3y|avg_roe_3y,10637.2,Utilities
SBFC,False,12,14,roce_10|de_05,9943.88,Financial Services
SBICARD,False,10,14,roce_10|de_05|profit_3y|opm_positive,54075.2,Financial Services
SBILIFE,False,11,14,roce_10|yoy_sales|opm_positive,172455.22,Financial Services
SJVN,False,8,14,roce_10|roe_10|de_05|yoy_profit|profit_3y|avg_roe_3y,27634.32,Utilities
SRF,False,13,14,profit_3y,78796.57,Industrials
SAGILITY,False,12,14,avg_roe_3y|mcap_3y_ago,18378.9,Healthcare
SAILIFE,False,13,14,mcap_3y_ago,25055.08,Healthcare
SAMMAANCAP,False,7,14,roce_10|roe_10|de_05|yoy_sales|yoy_profit|profit_3y|avg_roe_3y,19249.35,Financial Services
MOTHERSON,False,13,14,avg_roe_3y,148216.55,Consumer Cyclical
SAPPHIRE,False,8,14,roce_10|roe_10|de_05|yoy_profit|profit_3y|avg_roe_3y,5370.46,Consumer Cyclical
SARDAEN,True,14,14,,18397.83,Basic Materials
SAREGAMA,False,12,14,de_05|yoy_sales,8682.33,Communication Services
SCHAEFFLER,False,12,14,roe_10|de_05,60336.34,Consumer Cyclical
SCHNEIDER,False,11,14,de_05|yoy_profit|pe_vs_industry,26045.6,Industrials
SCI,False,13,14,roe_10,13370.76,Industrials
SHREECEM,False,11,14,roce_10|roe_10|avg_roe_3y,85511.37,Basic Materials
SHRIRAMFIN,False,10,14,roce_10|de_05|yoy_profit|opm_positive,208527.11,Financial Services
SHYAMMETL,False,11,14,roe_10|de_05|avg_roe_3y,26978.47,Basic Materials
ENRIN,False,10,14,roe_10|de_05|profit_3y|mcap_3y_ago,121526.13,Utilities
SIEMENS,False,11,14,roe_10|de_05|yoy_profit,125425.64,Industrials
SIGNATURE,False,11,14,roce_10|de_05|profit_3y,10928.22,Real Estate
SOBHA,False,10,14,roce_10|roe_10|pe_vs_industry|avg_roe_3y,13639.82,Real Estate
SOLARINDS,True,14,14,,155109.01,Basic Materials
SONACOMS,False,13,14,de_05,36394.88,Consumer Cyclical
SONATSOFTW,False,13,14,yoy_sales,7054.11,Technology
STARHEALTH,False,8,14,roce_10|roe_10|yoy_profit|profit_3y|opm_positive|avg_roe_3y,30594.04,Financial Services
SBIN,False,12,14,roce_10|opm_positive,923707.9,Financial Services
SAIL,False,10,14,roce_10|roe_10|de_05|avg_roe_3y,74911.21,Basic Materials
SUMICHEM,False,13,14,de_05,22386.69,Basic Materials
SUNPHARMA,False,12,14,de_05|yoy_profit,430488.66,Healthcare
SUNTV,False,10,14,de_05|yoy_sales|yoy_profit|profit_3y,19759.4,Communication Services
SUNDARMFIN,False,11,14,roce_10|de_05|opm_positive,45322.9,Financial Services
SUPREMEIND,False,13,14,de_05,43764.43,Industrials
SPLPETRO,False,12,14,de_05|profit_3y,12546.12,Basic Materials
SUZLON,False,13,14,de_05,73210.1,Industrials
SWANCORP,False,8,14,roce_10|roe_10|yoy_profit|profit_3y|opm_positive|avg_roe_3y,9793.96,Industrials
SWIGGY,False,7,14,roce_10|roe_10|yoy_profit|profit_3y|opm_positive|avg_roe_3y|mcap_3y_ago,62597.43,Consumer Cyclical
SYNGENE,False,9,14,roce_10|roe_10|de_05|profit_3y|avg_roe_3y,18000.92,Healthcare
SYRMA,False,13,14,avg_roe_3y,23800.74,Technology
TBOTEK,True,14,14,,13407.8,Consumer Cyclical
TVSMOTOR,False,12,14,de_05|pe_vs_industry,156225.87,Consumer Cyclical
TATACAP,False,10,14,roce_10|de_05|profit_3y|mcap_3y_ago,135503.43,Financial Services
TATACHEM,False,7,14,roce_10|roe_10|yoy_sales|yoy_profit|profit_3y|opm_positive|avg_roe_3y,18882.54,Basic Materials
TATACOMM,False,12,14,de_05|profit_3y,56031.0,Communication Services
TCS,True,14,14,,772678.77,Technology
TATACONSUM,False,11,14,roce_10|roe_10|avg_roe_3y,109711.35,Consumer Defensive
TATAELXSI,False,12,14,de_05|profit_3y,24975.52,Technology
TATAINVEST,False,9,14,roce_10|roe_10|pe_vs_industry|opm_positive|avg_roe_3y,32160.9,Financial Services
TMCV,False,12,14,profit_3y|mcap_3y_ago,131961.99,Consumer Cyclical
TMPV,False,9,14,roce_10|roe_10|de_05|yoy_profit|opm_positive,138422.75,Consumer Cyclical
TATAPOWER,False,9,14,roce_10|de_05|yoy_sales|yoy_profit|avg_roe_3y,124698.13,Utilities
TATASTEEL,False,12,14,de_05|avg_roe_3y,246892.7,Basic Materials
TATATECH,False,12,14,pe_vs_industry|profit_3y,29700.66,Technology
TTML,False,8,14,roce_10|roe_10|yoy_sales|yoy_profit|profit_3y|avg_roe_3y,8240.02,Communication Services
TECHM,False,12,14,de_05|profit_3y,129766.61,Technology
TECHNOE,False,11,14,roce_10|de_05|yoy_profit,11740.44,Industrials
TEGA,False,9,14,roce_10|roe_10|yoy_sales|yoy_profit|profit_3y,12682.31,Industrials
TEJASNET,False,6,14,roce_10|roe_10|de_05|yoy_sales|yoy_profit|profit_3y|opm_positive|avg_roe_3y,10179.21,Technology
TENNIND,False,12,14,de_05|mcap_3y_ago,22634.13,Consumer Cyclical
NIACL,False,10,14,roce_10|roe_10|opm_positive|avg_roe_3y,24214.06,Financial Services
RAMCOCEM,False,10,14,roce_10|roe_10|yoy_profit|avg_roe_3y,20108.48,Basic Materials
THERMAX,False,13,14,pe_vs_industry,51495.09,Industrials
TIMKEN,False,13,14,de_05,26413.06,Industrials
TITAGARH,False,9,14,roe_10|yoy_sales|yoy_profit|profit_3y|avg_roe_3y,11079.61,Industrials
TITAN,False,13,14,de_05,357053.44,Consumer Cyclical
TORNTPHARM,False,10,14,roce_10|de_05|yoy_profit|pe_vs_industry,154744.04,Healthcare
TORNTPOWER,False,11,14,de_05|yoy_sales|yoy_profit,69352.25,Utilities
TARIL,False,13,14,yoy_profit,9019.98,Industrials
TRAVELFOOD,False,13,14,mcap_3y_ago,16017.49,Consumer Cyclical
TRENT,True,14,14,,144553.93,Consumer Cyclical
TRIDENT,False,8,14,roce_10|roe_10|yoy_sales|yoy_profit|profit_3y|avg_roe_3y,12010.29,Consumer Cyclical
TRITURBINE,False,13,14,de_05,20367.53,Industrials
TIINDIA,False,10,14,roe_10|yoy_profit|pe_vs_industry|profit_3y,57590.59,Industrials
UCOBANK,False,9,14,roce_10|roe_10|yoy_sales|opm_positive|avg_roe_3y,31499.37,Financial Services
UNOMINDA,True,14,14,,61631.97,Consumer Cyclical
UPL,False,10,14,roe_10|de_05|profit_3y|avg_roe_3y,50188.75,Basic Materials
UTIAMC,False,9,14,roe_10|de_05|yoy_sales|yoy_profit|profit_3y,11752.17,Financial Services
ULTRACEMCO,False,13,14,avg_roe_3y,318585.7,Basic Materials
UNIONBANK,False,12,14,roce_10|opm_positive,125603.35,Financial Services
UBL,False,12,14,roe_10|avg_roe_3y,34919.99,Consumer Defensive
UNITDSPR,False,12,14,de_05|yoy_sales,91492.53,Consumer Defensive
URBANCO,False,6,14,roce_10|roe_10|de_05|yoy_profit|profit_3y|opm_positive|avg_roe_3y|mcap_3y_ago,17981.9,Technology
USHAMART,False,13,14,de_05,14614.26,Basic Materials
VTL,False,9,14,roce_10|roe_10|yoy_profit|profit_3y|avg_roe_3y,17774.92,Consumer Cyclical
VBL,False,13,14,roe_10,175845.58,Consumer Defensive
VEDL,False,13,14,roce_10,119057.4,Basic Materials
VIJAYA,True,14,14,,13162.55,Healthcare
VMM,False,12,14,avg_roe_3y|mcap_3y_ago,55017.56,Consumer Cyclical
IDEA,False,8,14,roce_10|roe_10|yoy_profit|profit_3y|opm_positive|avg_roe_3y,153522.08,Communication Services
VOLTAS,False,10,14,roce_10|roe_10|yoy_profit|avg_roe_3y,42263.91,Consumer Cyclical
WAAREEENER,False,13,14,mcap_3y_ago,86695.23,Technology
WELCORP,False,13,14,yoy_profit,36639.02,Basic Materials
WELSPUNLIV,False,10,14,roce_10|roe_10|yoy_sales|yoy_profit,12956.48,Consumer Cyclical
WHIRLPOOL,False,10,14,roce_10|roe_10|de_05|avg_roe_3y,9764.62,Consumer Cyclical
WIPRO,False,13,14,yoy_profit,186080.77,Technology
WOCKPHARMA,False,9,14,roce_10|roe_10|pe_vs_industry|profit_3y|avg_roe_3y,31260.25,Healthcare
YESBANK,False,10,14,roce_10|roe_10|opm_positive|avg_roe_3y,69739.92,Financial Services
ZFCVINDIA,True,14,14,,27696.47,Consumer Cyclical
ZEEL,False,8,14,roce_10|roe_10|de_05|yoy_profit|opm_positive|avg_roe_3y,10704.99,Communication Services
ZENTEC,False,12,14,de_05|yoy_profit,15425.11,Industrials
ZENSARTECH,False,12,14,roe_10|de_05,10038.91,Technology
ZYDUSLIFE,True,14,14,,111279.42,Healthcare
ZYDUSWELL,False,8,14,roce_10|roe_10|de_05|pe_vs_industry|profit_3y|avg_roe_3y,15919.0,Consumer Defensive
ECLERX,True,14,14,,12458.59,Technology
